Measuring points - characteristics


MANDT	 ZCOLNR	 ZVALUE	 ATNAM	 INDCT
X	 X	 X	 	
Client	 AM: Column number	 Position	 Characteristic Name	 Indicator to Show that Measuring Point Is a Counter
MANDT-CLNT(3)	 ZCHAR3-CHAR(3)	 ZCHAR3-CHAR(3)	 ATNAM-CHAR(30)	 X-CHAR(1)
100	 027	 520	 ZAM_COMPROUTLDINLTEMP	
100	 027	 530	 ZAM_REGENINLDINLTEMP	
100	 027	 550	 ZAM_REGENAIRINLREGENAIROUTLET	
100	 027	 605	 ZAM_PDSEALSECTOR	
100	 027	 790	 ZAM_COOLWATER_IN	
100	 027	 820	 ZAM_COOLWATER_OUT	
100	 028	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 028	 015	 ZAM_RHRSTOTAL	 X
100	 028	 020	 ZAM_FUELLEVEL	
100	 028	 060	 ZAM_AMBTEMP	
100	 028	 350	 ZAM_OILPRESS	
100	 028	 910	 ZAM_FREQUENS	
100	 028	 920	 ZAM_OILPRESS_DIESELENGINE	
100	 028	 922	 ZAM_COOLTEMP_DIESELENGINE	
100	 028	 924	 ZAM_GENERATOR_U1	
100	 028	 926	 ZAM_GENERATOR_V1	
100	 028	 928	 ZAM_GENERATOR_W1	
100	 028	 930	 ZAM_GENERATOR_CURRENT_U1	
100	 028	 932	 ZAM_GENERATOR_CURRENT_V1	
100	 028	 934	 ZAM_GENERATOR_CURRENT_W1	
100	 029	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 029	 015	 ZAM_RHRSTOTAL	 X
100	 029	 020	 ZAM_RHRSLOADED	
100	 029	 022	 ZAM_50_PERC_LOADED	
100	 029	 024	 ZAM_MOTORSTART	
100	 029	 026	 ZAM_MODULEHOURS	
100	 029	 028	 ZAM_LOADRELAY	
100	 029	 029	 ZAM_LOADRELAY2	
100	 029	 040	 ZAM_WORKPRESS	
100	 029	 112	 ZAM_OUTLTEMP_1A	
100	 029	 140	 ZAM_OUTLTEMP_ELT2	
100	 029	 152	 ZAM_OUTLTEMP_1B	
100	 029	 180	 ZAM_OUTLTEMP_ELT3	
100	 029	 350	 ZAM_OILPRESS	
100	 029	 790	 ZAM_COOLWATER_IN	
100	 030	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 030	 015	 ZAM_RHRSTOTAL	 X
100	 030	 020	 ZAM_RHRSLOADED	
100	 030	 024	 ZAM_MOTORSTART	
100	 030	 026	 ZAM_MODULEHOURS	
100	 030	 040	 ZAM_WORKPRESS	
100	 030	 060	 ZAM_AMBTEMP	
100	 030	 450	 ZAM_PRESSDEWP	
100	 030	 500	 ZAM_REGENINLTEMP	
100	 030	 510	 ZAM_REGENOUTLTEMP	
100	 030	 520	 ZAM_COMPROUTLDINLTEMP	
100	 030	 530	 ZAM_REGENINLDINLTEMP	
100	 030	 550	 ZAM_REGENAIRINLREGENAIROUTLET	
100	 030	 605	 ZAM_PDSEALSECTOR	
100	 031	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 031	 015	 ZAM_RHRSTOTAL	 X
100	 031	 020	 ZAM_RHRSLOADED	
100	 031	 031	 ZAM_VSD_1-20_PERC_RPM	
100	 031	 032	 ZAM_VSD_20-40_PERC_RPM	
100	 031	 033	 ZAM_VSD_40-60_PERC_RPM	
100	 031	 034	 ZAM_VSD_60-80_PERC_RPM	
100	 031	 035	 ZAM_VSD_80-100_PERC_RPM	
100	 031	 040	 ZAM_WORKPRESS	
100	 031	 060	 ZAM_AMBTEMP	
100	 031	 100	 ZAM_OUTLTEMP_ELT1	
100	 031	 460	 ZAM_LAT	
100	 031	 760	 ZAM_MOTOR_CURRENT_U1	
100	 031	 770	 ZAM_MOTOR_CURRENT_V1	
100	 031	 780	 ZAM_MOTOR_CURRENT_W1	
100	 031	 850	 ZAM_WATERSEPERATOR	
100	 031	 860	 ZAM_WATERINJECTPRESS	
100	 031	 870	 ZAM_WATERINJECTTEMP	
100	 031	 880	 ZAM_BLOCKINGAIR	
100	 032	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 032	 015	 ZAM_RHRSTOTAL	 X
100	 032	 020	 ZAM_FUELLEVEL	
100	 032	 040	 ZAM_WORKPRESS	
100	 032	 060	 ZAM_AMBTEMP	
100	 032	 350	 ZAM_OILPRESS	
100	 032	 920	 ZAM_OILPRESS_DIESELENGINE	
100	 032	 922	 ZAM_COOLTEMP_DIESELENGINE	
100	 032	 938	 ZAM_BATTERYVOLTAGE	
100	 032	 944	 ZAM_PROGRAMVERSION	
100	 032	 946	 ZAM_SERVICECOUNTER	
100	 032	 948	 ZAM_OILTEMP_DIESELENGINE	
100	 032	 950	 ZAM_FUELPRESS_DIESELENGINE	
100	 032	 952	 ZAM_ENGINEFUELTEMP	
100	 032	 954	 ZAM_ENGINELOAD	
100	 032	 956	 ZAM_AIRINLETTEMP	
100	 032	 958	 ZAM_ENGINERPM	
100	 033	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 033	 015	 ZAM_RHRSTOTAL	 X
100	 033	 020	 ZAM_RHRSLOADED	
100	 033	 040	 ZAM_WORKPRESS	
100	 033	 060	 ZAM_AMBTEMP	
100	 033	 100	 ZAM_OUTLTEMP_ELT1	
100	 033	 460	 ZAM_LAT	
100	 033	 660	 ZAM_SPMMOTDE	
100	 033	 670	 ZAM_SPMLMOTNDE	
100	 033	 680	 ZAM_SPMELTP1	
100	 033	 690	 ZAM_SPMELTP2	
100	 033	 720	 ZAM_SPMGEARBOX	
100	 033	 760	 ZAM_MOTOR_CURRENT_U1	
100	 033	 770	 ZAM_MOTOR_CURRENT_V1	
100	 033	 780	 ZAM_MOTOR_CURRENT_W1	
100	 033	 790	 ZAM_COOLWATER_IN	
100	 033	 800	 ZAM_COOLWATERICOUT	
100	 034	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 034	 015	 ZAM_RHRSTOTAL	 X
100	 034	 020	 ZAM_FUELLEVEL	
100	 034	 060	 ZAM_AMBTEMP	
100	 034	 350	 ZAM_OILPRESS	
100	 034	 910	 ZAM_FREQUENS	
100	 034	 920	 ZAM_OILPRESS_DIESELENGINE	
100	 034	 922	 ZAM_COOLTEMP_DIESELENGINE	
100	 034	 924	 ZAM_GENERATOR_U1	
100	 034	 926	 ZAM_GENERATOR_V1	
100	 034	 928	 ZAM_GENERATOR_W1	
100	 034	 930	 ZAM_GENERATOR_CURRENT_U1	
100	 034	 932	 ZAM_GENERATOR_CURRENT_V1	
100	 034	 934	 ZAM_GENERATOR_CURRENT_W1	
100	 034	 936	 ZAM_KWH	
100	 034	 938	 ZAM_BATTERYVOLTAGE	
100	 034	 940	 ZAM_SERVICETIMER1	
100	 034	 942	 ZAM_SERVICETIMER2	
100	 035	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 035	 015	 ZAM_RHRSTOTAL	 X
100	 035	 026	 ZAM_MODULEHOURS	
100	 035	 040	 ZAM_WORKPRESS	
100	 035	 060	 ZAM_AMBTEMP	
100	 035	 450	 ZAM_PRESSDEWP	
100	 035	 470	 ZAM_DINLTEMP	
100	 035	 480	 ZAM_DOUTLTEMP	
100	 035	 494	 ZAM_TOWER_A_PRESS	
