Tcodes linked with single role


MANDT	 AGR_NAME	 TCODE
X	 X	 X
Client	 Role Name	 Extended program name
MANDT-CLNT(3)	 AGR_NAME-CHAR(30)	 EXTDREPORT-CHAR(48)
100	 ZCQCA_RDC_CS_DISPLAY	 S_ALR_87012215
100	 ZCQCA_RDC_CS_DISPLAY	 V23
100	 ZCQCA_RDC_CS_DISPLAY	 VA03
100	 ZCQCA_RDC_CS_DISPLAY	 VA23
100	 ZCQCA_RDC_CS_DISPLAY	 VA25
100	 ZCQCA_RDC_CS_DISPLAY	 VA25N
100	 ZCQCA_RDC_CS_DISPLAY	 VA43
100	 ZCQCA_RDC_CS_DISPLAY	 VA45
100	 ZCQCA_RDC_CS_DISPLAY	 VF03
100	 ZCQCA_RDC_CS_DISPLAY	 XD03
100	 ZCQCA_RDC_CS_DISPLAY	 YAM_FIFI
100	 ZCQCA_RDC_CS_DISPLAY	 YAM_REPORT
100	 ZCQCA_RDC_CS_DISPLAY	 YSE_AM_WS1
100	 ZCQCA_RDC_CS_DISPLAY	 YSE_CLOSE_SEO_LOG
100	 ZCQCA_RDC_CS_DISPLAY	 YSE_DP_LIST
100	 ZCQCA_RDC_CS_DISPLAY	 YSE_EMSQ
100	 ZCQCA_RDC_CS_DISPLAY	 YSE_FI_REP_EXCH
100	 ZCQCA_RDC_CS_DISPLAY	 YSE_PREPAYM_EXT
100	 ZCQCA_RDC_CS_GOODS_MOV	 CO09
100	 ZCQCA_RDC_CS_GOODS_MOV	 COGI
100	 ZCQCA_RDC_CS_GOODS_MOV	 HUCANC
100	 ZCQCA_RDC_CS_GOODS_MOV	 IW3M
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB01
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB02
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB03
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB04
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB0A
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB11
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB1A
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB1B
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB1C
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB21
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB22
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB23
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB24
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB25
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB26
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB51
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB52
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB58
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB5B
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB5T
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB90
100	 ZCQCA_RDC_CS_GOODS_MOV	 MBBS
100	 ZCQCA_RDC_CS_GOODS_MOV	 MBRL
100	 ZCQCA_RDC_CS_GOODS_MOV	 MBSF
100	 ZCQCA_RDC_CS_GOODS_MOV	 MBST
100	 ZCQCA_RDC_CS_GOODS_MOV	 MIGO
100	 ZCQCA_RDC_CS_GOODS_MOV	 MMSC
100	 ZCQCA_RDC_CS_GOODS_MOV	 VL21
100	 ZCQCA_RDC_CS_GOODS_MOV	 VL23
100	 ZCQCA_RDC_CS_GOODS_MOV	 VLMOVE
100	 ZCQCA_RDC_CS_GOODS_MOV	 WMBE
100	 ZCQCA_RDC_CS_GOODS_MOV	 YSE_AM_LOG1
100	 ZCQCA_RDC_CS_GOODS_MOV	 YSE_AM_LOG2
100	 ZCQCA_RDC_CS_GOODS_MOV	 YSE_SLOC_EXTEND
100	 ZCQCA_RDC_CS_GOODS_MOV	 YSE_SO_ASSO
100	 ZCQCA_RDC_CS_PARTCONF	 IW41
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 DP80
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 DP81
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 SDQ1
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 SDQ2
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 SDQ3
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 S_P6B_12000142
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 V.04
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 VA21
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 VA22
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 VA23
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 VA25
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 VA26
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 YAM_AUTOCLOSE_QUO
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 YAM_ECHR
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 YSE_ORDER_OUTPUT
100	 ZCQCA_RDC_CS_QUOTATION_MGT	 YSE_SL_CTP_QUOT
100	 ZCQCA_RDC_CS_SO_MGT	 V.00
100	 ZCQCA_RDC_CS_SO_MGT	 V.01
100	 ZCQCA_RDC_CS_SO_MGT	 V.02
100	 ZCQCA_RDC_CS_SO_MGT	 V.14
100	 ZCQCA_RDC_CS_SO_MGT	 V.15
100	 ZCQCA_RDC_CS_SO_MGT	 V.25
100	 ZCQCA_RDC_CS_SO_MGT	 V.26
100	 ZCQCA_RDC_CS_SO_MGT	 VA01
100	 ZCQCA_RDC_CS_SO_MGT	 VA02
100	 ZCQCA_RDC_CS_SO_MGT	 VA05
100	 ZCQCA_RDC_CS_SO_MGT	 VA05N
100	 ZCQCA_RDC_CS_SO_MGT	 VA07
100	 ZCQCA_RDC_CS_SO_MGT	 VA08
100	 ZCQCA_RDC_CS_SO_MGT	 VA55
100	 ZCQCA_RDC_CS_SO_MGT	 VD51
100	 ZCQCA_RDC_CS_SO_MGT	 VD52
100	 ZCQCA_RDC_CS_SO_MGT	 VD53
100	 ZCQCA_RDC_CS_SO_MGT	 VD54
100	 ZCQCA_RDC_CS_SO_MGT	 VD59
100	 ZCQCA_RDC_CS_SO_MGT	 VV11
100	 ZCQCA_RDC_CS_SO_MGT	 VV12
100	 ZCQCA_RDC_CS_SO_MGT	 VV13
100	 ZCQCA_RDC_CS_SO_MGT	 VV21
100	 ZCQCA_RDC_CS_SO_MGT	 VV22
100	 ZCQCA_RDC_CS_SO_MGT	 VV23
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_AM_REV
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_OUTPUT_ORDERS
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_RU_FI_INVOICE
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REPORTING
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_BACKO
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_EMPLOYEE
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_OPENPO
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_OPENPOEXT
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_POPROMISS
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_PREPAY
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_SCRAP
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_STOCK
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_STOCKACC
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_STOCKALM
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_SUPPERF
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_SURPLUS
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_SURPLUS_N
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_TRANSIT
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_VENDSTAT
100	 ZCQCA_RDC_CS_SO_MGT	 YSE_SL_REP_WHSEFF
100	 ZCQCA_RDC_FI_AP_MGT	 F-30
100	 ZCQCA_RDC_FI_AP_MGT	 F-41
100	 ZCQCA_RDC_FI_AP_MGT	 F-43
100	 ZCQCA_RDC_FI_AP_MGT	 F-44
100	 ZCQCA_RDC_FI_AP_MGT	 F-47
100	 ZCQCA_RDC_FI_AP_MGT	 F-48
100	 ZCQCA_RDC_FI_AP_MGT	 F-52
100	 ZCQCA_RDC_FI_AP_MGT	 F-54
100	 ZCQCA_RDC_FI_AP_MGT	 F-59
