ACC: mapping transportation zone - data


MANDT	 VKORG	 VTWEG	 SPART	 ZVALUE_FIELD	 LZONE
X	 X	 X	 X	 X	
MANDT-CLNT(3)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPART-CHAR(2)	 ZVALUE_FIELD-CHAR(10)	 ZONE-CHAR(10)
100	 CN01	 01	 01	 1150	 CN00200003
100	 CN01	 01	 01	 1151	 CN00200004
100	 CN01	 01	 01	 1152	 CN00200004
100	 CN01	 01	 01	 1160	 CN00200002
100	 CN01	 01	 01	 1161	 CN00200002
100	 CN01	 01	 01	 1162	 CN00200004
100	 CN01	 01	 01	 1163	 CN00200004
100	 CN01	 01	 01	 1164	 CN00200004
100	 CN01	 01	 01	 1165	 CN00200005
100	 CN01	 01	 01	 1166	 CN00200002
100	 CN01	 01	 01	 1170	 CN00200002
100	 CN01	 01	 01	 1171	 CN00200004
100	 CN01	 01	 01	 1172	 CN00200005
100	 CN01	 01	 01	 1180	 CN00200002
100	 CN01	 01	 01	 1181	 CN00200004
100	 CN01	 01	 01	 1182	 CN00200005
100	 CN01	 01	 01	 1183	 CN00200004
100	 CN01	 01	 01	 1210	 CN00200002
100	 CN01	 01	 01	 1211	 CN00200004
100	 CN01	 01	 01	 1212	 CN00200004
100	 CN01	 01	 01	 1213	 CN00200004
100	 CN01	 01	 01	 1214	 CN00200005
100	 CN01	 01	 01	 1215	 CN00200003
100	 CN01	 01	 01	 1216	 CN00200005
100	 CN01	 01	 01	 1217	 CN00200005
100	 CN01	 01	 01	 1220	 CN00200004
100	 CN01	 01	 01	 1221	 CN00200004
100	 CN01	 01	 01	 1222	 CN00200004
100	 CN01	 01	 01	 1223	 CN00200005
100	 CN01	 01	 01	 1224	 CN00200005
100	 CN01	 01	 01	 1225	 CN00200005
100	 CN01	 01	 01	 1226	 CN00200004
100	 CN01	 01	 01	 1230	 CN00200004
100	 CN01	 01	 01	 1231	 CN00200004
100	 CN01	 01	 01	 1232	 CN00200005
100	 CN01	 01	 01	 1240	 CN00200004
100	 CN01	 01	 01	 1241	 CN00200004
100	 CN01	 01	 01	 1242	 CN00200005
100	 CN01	 01	 01	 1250	 CN00200003
100	 CN01	 01	 01	 1252	 CN00200003
100	 CN01	 01	 01	 1300	 CN00170001
100	 CN01	 01	 01	 1301	 CN00170001
100	 CN01	 01	 01	 1302	 CN00170002
100	 CN01	 01	 01	 1303	 CN00170002
100	 CN01	 01	 01	 1304	 CN00170002
100	 CN01	 01	 01	 1305	 CN00170002
100	 CN01	 01	 01	 1306	 CN00170002
100	 CN01	 01	 01	 1307	 CN00170002
100	 CN01	 01	 01	 1310	 CN00170002
100	 CN01	 01	 01	 1311	 CN00170002
100	 CN01	 01	 01	 1312	 CN00170002
100	 CN01	 01	 01	 1313	 CN00170008
100	 CN01	 01	 01	 1314	 CN00170005
100	 CN01	 01	 01	 1315	 CN00170005
100	 CN01	 01	 01	 1320	 CN00170001
100	 CN01	 01	 01	 1321	 CN00170001
100	 CN01	 01	 01	 1322	 CN00170002
100	 CN01	 01	 01	 1323	 CN00170002
100	 CN01	 01	 01	 1324	 CN00170008
100	 CN01	 01	 01	 1325	 CN00170002
100	 CN01	 01	 01	 1326	 CN00170008
100	 CN01	 01	 01	 1330	 CN00170005
100	 CN01	 01	 01	 1331	 CN00170008
100	 CN01	 01	 01	 1332	 CN00170009
100	 CN01	 01	 01	 1333	 CN00170009
100	 CN01	 01	 01	 1334	 CN00170008
100	 CN01	 01	 01	 1335	 CN00170009
100	 CN01	 01	 01	 1336	 CN00170009
100	 CN01	 01	 01	 1337	 CN00170005
100	 CN01	 01	 01	 1340	 CN00170004
100	 CN01	 01	 01	 1341	 CN00170007
100	 CN01	 01	 01	 1342	 CN00170008
100	 CN01	 01	 01	 1343	 CN00170008
100	 CN01	 01	 01	 1344	 CN00170009
100	 CN01	 01	 01	 1345	 CN00170009
100	 CN01	 01	 01	 1346	 CN00170009
100	 CN01	 01	 01	 1347	 CN00170009
100	 CN01	 01	 01	 1350	 CN00170008
100	 CN01	 01	 01	 1351	 CN00170009
100	 CN01	 01	 01	 1352	 CN00170009
100	 CN01	 01	 01	 1353	 CN00170009
100	 CN01	 01	 01	 1360	 CN00170005
100	 CN01	 01	 01	 1361	 CN00170008
100	 CN01	 01	 01	 1362	 CN00170004
100	 CN01	 01	 01	 1363	 CN00170007
100	 CN01	 01	 01	 1364	 CN00170007
100	 CN01	 01	 01	 1365	 CN00170007
100	 CN01	 01	 01	 1366	 CN00170007
100	 CN01	 01	 01	 1370	 CN00170004
100	 CN01	 01	 01	 1371	 CN00170007
100	 CN01	 01	 01	 1372	 CN00170009
100	 CN01	 01	 01	 1373	 CN00170009
100	 CN01	 01	 01	 1374	 CN00170003
100	 CN01	 01	 01	 1375	 CN00170006
100	 CN01	 01	 01	 1376	 CN00170006
100	 CN01	 01	 01	 1380	 CN00170002
100	 CN01	 01	 01	 1500	 CN00140001
100	 CN01	 01	 01	 1501	 CN00140003
100	 CN01	 01	 01	 1502	 CN00140004
100	 CN01	 01	 01	 1503	 CN00140006
100	 CN01	 01	 01	 1504	 CN00140004
100	 CN01	 01	 01	 1505	 CN00140004
100	 CN01	 01	 01	 1506	 CN00140004
100	 CN01	 01	 01	 1507	 CN00140004
100	 CN01	 01	 01	 1508	 CN00140004
100	 CN01	 01	 01	 1509	 CN00140004
100	 CN01	 01	 01	 1511	 CN00140004
100	 CN01	 01	 01	 1512	 CN00140004
100	 CN01	 01	 01	 1513	 CN00140004
100	 CN01	 01	 01	 1514	 CN00140004
100	 CN01	 01	 01	 1515	 CN00140004
100	 CN01	 01	 01	 1516	 CN00140004
100	 CN01	 01	 01	 1517	 CN00140004
100	 CN01	 01	 01	 1518	 CN00140004
100	 CN01	 01	 01	 1519	 CN00140004
100	 CN01	 01	 01	 1520	 CN00140004
100	 CN01	 01	 01	 1521	 CN00140004
100	 CN01	 01	 01	 1522	 CN00140004
100	 CN01	 01	 01	 1523	 CN00140004
100	 CN01	 01	 01	 1524	 CN00140004
100	 CN01	 01	 01	 1525	 CN00140004
100	 CN01	 01	 01	 1530	 CN00140007
100	 CN01	 01	 01	 1531	 CN00140009
100	 CN01	 01	 01	 1532	 CN00140009
100	 CN01	 01	 01	 1540	 CN00140003
100	 CN01	 01	 01	 1541	 CN00140005
100	 CN01	 01	 01	 1542	 CN00140008
100	 CN01	 01	 01	 1543	 CN00140008
100	 CN01	 01	 01	 1544	 CN00140008
100	 CN01	 01	 01	 1545	 CN00140008
100	 CN01	 01	 01	 1546	 CN00140008
100	 CN01	 01	 01	 1547	 CN00140008
100	 CN01	 01	 01	 1548	 CN00140008
100	 CN01	 01	 01	 1549	 CN00140006
100	 CN01	 01	 01	 1551	 CN00140006
100	 CN01	 01	 01	 1556	 CN00140008
100	 CN01	 01	 01	 1558	 CN00140008
100	 CN01	 01	 01	 1561	 CN00140008
100	 CN01	 01	 01	 1562	 CN00140008
100	 CN01	 01	 01	 1563	 CN00140008
100	 CN01	 01	 01	 1564	 CN00140012
100	 CN01	 01	 01	 1565	 CN00140013
100	 CN01	 01	 01	 1566	 CN00140009
100	 CN01	 01	 01	 1567	 CN00140009
100	 CN01	 01	 01	 1569	 CN00140006
100	 CN01	 01	 01	 1570	 CN00140002
100	 CN01	 01	 01	 1571	 CN00140006
100	 CN01	 01	 01	 1572	 CN00140006
100	 CN01	 01	 01	 1573	 CN00140006
100	 CN01	 01	 01	 1574	 CN00140006
100	 CN01	 01	 01	 1575	 CN00140006
100	 CN01	 01	 01	 1576	 CN00140008
