IW32	 SAPLCOIH	 3000	 I	 E	 IW	 461	 Error when calculating costs	 for order 004000000713.	 	 	 CTU	
Workflow ser ord	 134949	   1	 	 	 	 	 Order 4000000881 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 143611	   1	 	 	 	 	 Order 4000000680 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 144619	   1	 	 	 	 	 Order 4000000882 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 145422	   1	 	 	 	 	 Order 4000000883 is locked and cannot be changed	 	 	 	 	
test	 test	 	 	 	 	 	 	 	 	 	 	
equi crea idoc check	 141654	 	 	 	 	 	 TEST13	 	 	 	 	
equi crea idoc befor	 141655	 	 	 	 	 	 	 	 	 	 	
equi crea idoc	 141553	 	 	 	 	 	 000000000010006786000000000000003358	 	 	 	 	
equi crea idoc	 141531	 	 	 	 	 	 000000000010006603000000000000003175	 	 	 	 	
equi crea idoc	 141611	 	 	 	 	 	 000000000010006961000000000000003533	 	 	 	 	
equi crea idoc	 141134	 	 	 	 	 	 000000000010004495000000000000001067	 	 	 	 	
equi crea idoc	 141507	 	 	 	 	 	 000000000010006393000000000000002965	 	 	 	 	
equi crea idoc	 141612	 	 	 	 	 	 000000000010006965000000000000003537	 	 	 	 	
equi crea idoc	 141554	 	 	 	 	 	 000000000010006804000000000000003376	 	 	 	 	
equi crea idoc	 141135	 	 	 	 	 	 000000000010004504000000000000001076	 	 	 	 	
equi crea idoc	 141532	 	 	 	 	 	 000000000010006614000000000000003186	 	 	 	 	
equi crea idoc	 141613	 	 	 	 	 	 000000000010006975000000000000003547	 	 	 	 	
equi crea idoc	 141508	 	 	 	 	 	 000000000010006406000000000000002978	 	 	 	 	
equi crea idoc	 141136	 	 	 	 	 	 000000000010004514000000000000001086	 	 	 	 	
equi crea idoc	 141533	 	 	 	 	 	 000000000010006624000000000000003196	 	 	 	 	
equi crea idoc	 141137	 	 	 	 	 	 000000000010004516000000000000001088	 	 	 	 	
equi crea idoc	 141509	 	 	 	 	 	 000000000010006417000000000000002989	 	 	 	 	
equi crea idoc	 141555	 	 	 	 	 	 000000000010006816000000000000003388	 	 	 	 	
equi crea idoc	 141138	 	 	 	 	 	 000000000010004523000000000000001095	 	 	 	 	
equi crea idoc	 141614	 	 	 	 	 	 000000000010006981000000000000003553	 	 	 	 	
equi crea idoc	 141534	 	 	 	 	 	 000000000010006632000000000000003204	 	 	 	 	
equi crea idoc	 141510	 	 	 	 	 	 000000000010006426000000000000002998	 	 	 	 	
equi crea idoc	 141139	 	 	 	 	 	 000000000010004534000000000000001106	 	 	 	 	
equi crea idoc	 141556	 	 	 	 	 	 000000000010006824000000000000003396	 	 	 	 	
equi crea idoc	 141535	 	 	 	 	 	 000000000010006641000000000000003213	 	 	 	 	
equi crea idoc	 141511	 	 	 	 	 	 000000000010006433000000000000003005	 	 	 	 	
equi crea idoc	 141615	 	 	 	 	 	 000000000010006992000000000000003564	 	 	 	 	
equi crea idoc	 141140	 	 	 	 	 	 000000000010004546000000000000001118	 	 	 	 	
equi crea idoc	 141512	 	 	 	 	 	 000000000010006441000000000000003013	 	 	 	 	
equi crea idoc	 141450	 	 	 	 	 	 000000000010006213000000000000002785	 	 	 	 	
equi crea idoc	 141536	 	 	 	 	 	 000000000010006650000000000000003222	 	 	 	 	
equi crea idoc	 141557	 	 	 	 	 	 000000000010006836000000000000003408	 	 	 	 	
equi crea idoc	 141616	 	 	 	 	 	 000000000010007003000000000000003575	 	 	 	 	
equi crea idoc	 141141	 	 	 	 	 	 000000000010004557000000000000001129	 	 	 	 	
equi crea idoc	 142627	 	 	 	 	 	 000000000010011783000000000000008355	 	 	 	 	
equi crea idoc	 141513	 	 	 	 	 	 000000000010006452000000000000003024	 	 	 	 	
equi crea idoc	 141451	 	 	 	 	 	 000000000010006223000000000000002795	 	 	 	 	
equi crea idoc	 141142	 	 	 	 	 	 000000000010004567000000000000001139	 	 	 	 	
equi crea idoc	 141537	 	 	 	 	 	 000000000010006660000000000000003232	 	 	 	 	
equi crea idoc	 141558	 	 	 	 	 	 000000000010006845000000000000003417	 	 	 	 	
equi crea idoc	 141617	 	 	 	 	 	 000000000010007011000000000000003583	 	 	 	 	
equi crea idoc	 141514	 	 	 	 	 	 000000000010006462000000000000003034	 	 	 	 	
equi crea idoc	 141452	 	 	 	 	 	 000000000010006234000000000000002806	 	 	 	 	
equi crea idoc	 141538	 	 	 	 	 	 000000000010006669000000000000003241	 	 	 	 	
equi crea idoc	 141143	 	 	 	 	 	 000000000010004578000000000000001150	 	 	 	 	
equi crea idoc	 141559	 	 	 	 	 	 000000000010006851000000000000003423	 	 	 	 	
equi crea idoc	 141539	 	 	 	 	 	 000000000010006672000000000000003244	 	 	 	 	
equi crea idoc	 141453	 	 	 	 	 	 000000000010006242000000000000002814	 	 	 	 	
equi crea idoc	 141515	 	 	 	 	 	 000000000010006472000000000000003044	 	 	 	 	
equi crea idoc	 141618	 	 	 	 	 	 000000000010007021000000000000003593	 	 	 	 	
equi crea idoc	 141144	 	 	 	 	 	 000000000010004589000000000000001161	 	 	 	 	
equi crea idoc	 141600	 	 	 	 	 	 000000000010006860000000000000003432	 	 	 	 	
equi crea idoc	 141540	 	 	 	 	 	 000000000010006682000000000000003254	 	 	 	 	
equi crea idoc	 141454	 	 	 	 	 	 000000000010006254000000000000002826	 	 	 	 	
equi crea idoc	 141145	 	 	 	 	 	 000000000010004599000000000000001171	 	 	 	 	
equi crea idoc	 141516	 	 	 	 	 	 000000000010006483000000000000003055	 	 	 	 	
equi crea idoc	 141601	 	 	 	 	 	 000000000010006869000000000000003441	 	 	 	 	
equi crea idoc	 141455	 	 	 	 	 	 000000000010006262000000000000002834	 	 	 	 	
equi crea idoc	 141619	 	 	 	 	 	 000000000010007030000000000000003602	 	 	 	 	
equi crea idoc	 141541	 	 	 	 	 	 000000000010006691000000000000003263	 	 	 	 	
equi crea idoc	 141146	 	 	 	 	 	 000000000010004609000000000000001181	 	 	 	 	
equi crea idoc	 141517	 	 	 	 	 	 000000000010006494000000000000003066	 	 	 	 	
equi crea idoc	 141602	 	 	 	 	 	 000000000010006880000000000000003452	 	 	 	 	
equi crea idoc	 141456	 	 	 	 	 	 000000000010006272000000000000002844	 	 	 	 	
equi crea idoc	 141520	 	 	 	 	 	 000000000010006499000000000000003071	 	 	 	 	
equi crea idoc	 141620	 	 	 	 	 	 000000000010007038000000000000003610	 	 	 	 	
equi crea idoc	 141542	 	 	 	 	 	 000000000010006701000000000000003273	 	 	 	 	
equi crea idoc	 141147	 	 	 	 	 	 000000000010004622000000000000001194	 	 	 	 	
equi crea idoc	 141521	 	 	 	 	 	 000000000010006504000000000000003076	 	 	 	 	
equi crea idoc	 141603	 	 	 	 	 	 000000000010006884000000000000003456	 	 	 	 	
equi crea idoc	 141457	 	 	 	 	 	 000000000010006286000000000000002858	 	 	 	 	
equi crea idoc	 141621	 	 	 	 	 	 000000000010007045000000000000003617	 	 	 	 	
equi crea idoc	 141148	 	 	 	 	 	 000000000010004632000000000000001204	 	 	 	 	
equi crea idoc	 141543	 	 	 	 	 	 000000000010006709000000000000003281	 	 	 	 	
equi crea idoc	 141522	 	 	 	 	 	 000000000010006516000000000000003088	 	 	 	 	
equi crea idoc	 141623	 	 	 	 	 	 000000000010007051000000000000003623	 	 	 	 	
equi crea idoc	 141624	 	 	 	 	 	 000000000010007049000000000000003621	 	 	 	 	
equi crea idoc	 141458	 	 	 	 	 	 000000000010006297000000000000002869	 	 	 	 	
equi crea idoc	 141149	 	 	 	 	 	 000000000010004644000000000000001216	 	 	 	 	
equi crea idoc	 141544	 	 	 	 	 	 000000000010006718000000000000003290	 	 	 	 	
equi crea idoc	 141604	 	 	 	 	 	 000000000010006896000000000000003468	 	 	 	 	
equi crea idoc	 142633	 	 	 	 	 	 000000000010011829000000000000008401	 	 	 	 	
equi crea idoc	 141523	 	 	 	 	 	 000000000010006522000000000000003094	 	 	 	 	
equi crea idoc	 141459	 	 	 	 	 	 000000000010006308000000000000002880	 	 	 	 	
equi crea idoc	 141625	 	 	 	 	 	 000000000010007061000000000000003633	 	 	 	 	
equi crea idoc	 141545	 	 	 	 	 	 000000000010006725000000000000003297	 	 	 	 	
equi crea idoc	 141150	 	 	 	 	 	 000000000010004656000000000000001228	 	 	 	 	
equi crea idoc	 141524	 	 	 	 	 	 000000000010006531000000000000003103	 	 	 	 	
equi crea idoc	 141151	 	 	 	 	 	 000000000010004658000000000000001230	 	 	 	 	
equi crea idoc	 141605	 	 	 	 	 	 000000000010006906000000000000003478	 	 	 	 	
equi crea idoc	 141546	 	 	 	 	 	 000000000010006732000000000000003304	 	 	 	 	
equi crea idoc	 142634	 	 	 	 	 	 000000000010011838000000000000008410	 	 	 	 	
equi crea idoc	 141152	 	 	 	 	 	 000000000010004665000000000000001237	 	 	 	 	
equi crea idoc	 141500	 	 	 	 	 	 000000000010006321000000000000002893	 	 	 	 	
equi crea idoc	 141626	 	 	 	 	 	 000000000010007068000000000000003640	 	 	 	 	
equi crea idoc	 141525	 	 	 	 	 	 000000000010006540000000000000003112	 	 	 	 	
equi crea idoc	 141606	 	 	 	 	 	 000000000010006913000000000000003485	 	 	 	 	
equi crea idoc	 141547	 	 	 	 	 	 000000000010006738000000000000003310	 	 	 	 	
equi crea idoc	 141653	 	 	 	 	 	 000000000010007275000000000000003847	 	 	 	 	
equi crea idoc	 141153	 	 	 	 	 	 000000000010004679000000000000001251	 	 	 	 	
equi crea idoc	 141717	 	 	 	 	 	 000000000010007495000000000000004067	 	 	 	 	
equi crea idoc	 141740	 	 	 	 	 	 000000000010007675000000000000004247	 	 	 	 	
equi crea idoc	 141154	 	 	 	 	 	 000000000010004686000000000000001258	 	 	 	 	
equi crea idoc	 141654	 	 	 	 	 	 000000000010007297000000000000003869	 	 	 	 	
equi crea idoc	 141758	 	 	 	 	 	 000000000010007835000000000000004407	 	 	 	 	
equi crea idoc	 141718	 	 	 	 	 	 000000000010007503000000000000004075	 	 	 	 	
equi crea idoc	 141741	 	 	 	 	 	 000000000010007686000000000000004258	 	 	 	 	
equi crea idoc	 141155	 	 	 	 	 	 000000000010004700000000000000001272	 	 	 	 	
equi crea idoc	 141759	 	 	 	 	 	 000000000010007845000000000000004417	 	 	 	 	
equi crea idoc	 141719	 	 	 	 	 	 000000000010007513000000000000004085	 	 	 	 	
equi crea idoc	 141656	 	 	 	 	 	 000000000010007318000000000000003890	 	 	 	 	
equi crea idoc	 141742	 	 	 	 	 	 000000000010007697000000000000004269	 	 	 	 	
equi crea idoc	 141156	 	 	 	 	 	 000000000010004704000000000000001276	 	 	 	 	
equi crea idoc	 141720	 	 	 	 	 	 000000000010007523000000000000004095	 	 	 	 	
equi crea idoc	 141657	 	 	 	 	 	 000000000010007326000000000000003898	 	 	 	 	
equi crea idoc	 141743	 	 	 	 	 	 000000000010007698000000000000004270	 	 	 	 	
equi crea idoc	 141157	 	 	 	 	 	 000000000010004722000000000000001294	 	 	 	 	
equi crea idoc	 141630	 	 	 	 	 	 000000000010007101000000000000003673	 	 	 	 	
equi crea idoc	 141800	 	 	 	 	 	 000000000010007854000000000000004426	 	 	 	 	
equi crea idoc	 141721	 	 	 	 	 	 000000000010007536000000000000004108	 	 	 	 	
